panel,xmin,ymax,xmax,ymin
A,0.05333333333333334,0.96,0.46473684210526317,0.5885294117647057
B,0.47649122807017547,0.96,0.5450584795321638,0.5885294117647057
C,0.5568128654970761,0.96,0.6253801169590644,0.5885294117647057
D,0.6371345029239767,0.96,0.7057017543859649,0.5885294117647057
E,0.7174561403508772,0.96,0.7860233918128655,0.5885294117647057
F,0.7977777777777778,0.96,0.8663450292397661,0.5885294117647057
G,0.8780994152046784,0.96,0.9466666666666667,0.5885294117647057
H,0.05333333333333334,0.5126960784313725,0.46473684210526317,0.3342647058823529
I,0.7070664421518484,0.5126960784313725,0.876734727438795,0.3342647058823529
J,0.05333333333333334,0.2584313725490196,0.8619677996422183,0.07999999999999996
K,0.8827429934406679,0.2584313725490196,0.9466666666666667,0.07999999999999996
